건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
사천시정신건강복지센터,정신보건,경상남도 사천시 용현면 시청로 77-1,,35.0044821464,128.0641106274,지역주민 정신건강증진사업,09:00,18:00,매주토요일+일요일+공휴일,,0,6,1,0,임상자문의(1),,055-831-2794,,055-831-3575,사천시 보건소,2020-10-20,5340000,경상남도 사천시
울산광역시 동구보건소 건강증진센터,건강증진,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.5050697141,129.4164300357,장애인 전용 건강증진 프로그램 운영,09:00,18:00,"공휴일, 주말",277.38,0,1,0,0,"물리치료사(2), 운동처방사(1)",12:00~13:00 중식시간 이용불가,052-209-4058,울산동구보건소,052-209-4053,울산광역시 동구보건소,2020-10-15,6310000,울산광역시
울산광역시동구정신건강증진센터,정신보건,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.5050697141,129.4164300357,"만성정신질환자관리, 지역주민 정신건강증진, 아동청소년정신보건, 자살예방사업",09:00,18:00,"공휴일, 주말",178.5,1,0,7,0,정신보건임상심리사(2),12:00~13:00 중식시간 이용불가,052-209-1040,울산대학교병원,052-209-6968,울산광역시 동구보건소,2020-10-15,6310000,울산광역시
울산광역시남구정신건강복지센터,정신보건,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.5453601,129.3363124,"정신질환자 재활, 정신건강교육.상담.홍보, 자살예방사업",09:00,18:00,"토요일, 공휴일",288.64,1,6,7,0,임상심리사2,,052-227-1116,큰빛병원,052-226-2450,울산광역시 남구보건소,2020-10-15,6310000,울산광역시
무거건강생활지원센터,건강증진,울산광역시 남구 대학로 147번길 41-26,울산광역시 남구 무거동 1533-6,35.55124599,129.2596398,건강생활습관 형성지원 및 만성질환 예방관리,09:00,18:00,"토요일, 공휴일",1226,0,4,0,2,센터장(1)+물리치료사(2)+운동사(2),,052-226-2345,무거건강생활지원센터,052-226-2805,울산광역시 남구보건소,2020-10-15,6310000,울산광역시
울산중구정신건강복지센터,정신보건,울산광역시 중구 외솔큰길 225,"울산광역시 중구 남외동 603-2, 중구보건소 3층",35.569483,129.350445,"중증정신건강사업, 자살예방사업, 아동 청소년 정신건강증진사업",09:00,18:00,"토요일, 일요일, 공휴일",330,1,1,8,0,임상심리사(4),,052-292-2900,사람이 소중한 병원,052-290-4361,울산광역시 중구보건소,2020-10-15,6310000,울산광역시
광산구중독관리통합지원센터,정신보건,"광주광역시 광산구 상무대로 239-1, 5층",,35.1406209456,126.7932444811,"알코올 중독자 사례관리, 재활프로그램 등 운영",09:00,18:00,"주말, 공휴일",161,1,3,7,0,0,없음,062-714-1233,광산구중독관리통합지원센터,062-960-8981,광산구 건강증진과,2020-07-01,3630000,광주광역시 광산구
송광정신재활센터,정신보건,광주광역시 광산구 우산로 17,,35.1598235851,126.8041452439,정신질환자 재활프로그램 운영 및 사회복귀 도모,09:00,18:00,"주말, 공휴일",129.14,0,0,3,0,0,정원:20명,062-841-8250,송광정신재활센터,062-960-8981,광산구 건강증진과,2020-07-01,3630000,광주광역시 광산구
해운대구건강증진센터,건강증진,부산광역시 해운대구 반송로 853,부산광역시 해운대구 반송동 683-48,35.23004498,129.1478938,예방보건 다목적 체육시설,06:00,18:00,"토?일요일, 공휴일",4163.08,0,0,0,0,30명,,051-717-3445,(사)해운대스포츠클럽,051-749-7505,해운대구보건소,2020-06-15,3330000,부산광역시 해운대구
관악구정신건강복지센터,정신보건,,서울특별시 관악구 봉천동 1570-1,37.4782097744,126.9515031667,"중증정신질환관리, 아동청소년정신건강관리, 정신건강증진, 자살예방사업",09:00,18:00,"매주토요일,일요일,공휴일",189.18,0,2,13,,1,,02-879-4911,서울특별시 관악구 보건소,02-879-7182,서울특별시 관악구청,2020-06-03,3200000,서울특별시 관악구
영천시정신건강복지센터,정신보건,경상북도 영천시 조양공원길 21,경상북도 영천시 창구동 7,35.966608,128.9322974,정신건강관리,09:00,18:00,"공휴일,토,일요일",,1,4,6,,1,,054-331-6770,,054-339-7816,영천시보건소,2020-06-29,5100000,경상북도 영천시
남양주시정신건강복지센터,정신보건,경기도 남양주시 경춘로 1037,경기도 남양주시 금곡동 185-10,37.6366154897,127.2179956504,"중증정신질환자관리,자살시도자관리,정신건강증진사업,자살예방사업",09:00,18:00,토요일+일요일+공휴일,105.7,1,6,12,0,1,,031-592-5891,축령복음병원,031-590-4461,남양주보건소,2020-06-30,3990000,경기도 남양주시
와부건강생활지원센터,건강증진,경기도 남양주시 와부읍 월문천로 35,경기도 남양주시 와부읍 덕소리 117-1,37.5855145468,127.2163294136,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,664,0,1,0,0,2,,031-590-4394,,,남양주보건소,2020-06-30,3990000,경기도 남양주시
화도건강생활지원센터,건강증진,경기도 남양주시 화도읍 비룡로 59,경기도 남양주시 화도읍 마석우리 548,37.6578481695,127.3007103215,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,825,0,2,0,1,1,,031-590-8434,,,남양주보건소,2020-06-30,3990000,경기도 남양주시
호평건강생활지원센터,건강증진,경기도 남양주시 호평로68번길 21,경기도 남양주시 호평동 669,37.6545666634,127.2489491400,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,253,0,1,0,1,1,,031-590-8084,,,남양주보건소,2020-06-30,3990000,경기도 남양주시
장계면건강생활지원센터,건강증진,전라북도 장수군 장계면 한들로 124,전라북도 장수군 장계면 장계리 358-37,35.73113068,127.5856752,만성질환예방및건강한생활습관 형성 지원,09:00,18:00,공휴일,,0,0,0,1,4,"만성질환관리, 금연클리닉, 운동(처방)실, 영양상담 등",063-352-8700,보건사업과,063-350-2651,장수군청,2020-09-16,4750000,전라북도 장수군
강동구정신건강복지센터,정신보건,서울특별시 강동구 성내로 45,서울특별시 강동구 성내2동 541-2번지,37.5295419850,127.125597,"중증사례관리사업,아동청소년사업,우울자살예방사업,지역환경조성사업",09:00,18:00,"토요일,일요일,공휴일",77.28,1,0,11,0,1,강동구민누구나(문의후이용),02-471-3223,국립중앙의료원,02-2260-7092,서울특별시 강동구보건소,2020-09-11,3240000,서울특별시 강동구
광양시건강증진센터,건강증진,전라남도 광양시 광양읍 인덕로 1100,전라남도 광양시 광양읍 칠성리 70,34.9809767437,127.5836111,"건강증진사업,모바일헬스케어,워크온",09:00,18:00,"주말,공휴일",178,1,2,0,1,3,,061-797-4103,광양시보건소,061-797-4018,광양시보건소,2020-09-07,4840000,전라남도 광양시
광양시 정신건강복지센터,정신보건,전라남도 광양시 광양읍 인덕로 1100,전라남도 광양시 광양읍 칠성리 70,34.9809767437,127.5836111,"중증정신질환자 관리사업, 아동청소년 정신건강증진사업, 자살예방사업 등",09:00,18:00,공휴일,,1,4,1,,,,061-797-3746,광양시보건소,061-797-3784,광양시보건소,2020-09-07,4840000,전라남도 광양시
광양시치매안심센터,정신보건,전라남도 광양시 광양읍 호북길 13-3,전라남도 광양시 광양읍 칠성리 898-3,34.9801019362,127.5836111,"치매상담·등록,조기검진, 치매예방프로그램 운영, 공공후견인 사업,치매안심마을, 치매인식개선 홍보, 지역 치매네크워크 구축, 치매환자 약제비 지원, 조호물품지급, 쉼터운영, 치매가족지원 등",09:00,18:00,"주말,공휴일",593,1,7,1,,1,,061-797-4059,광양시보건소,061-797-4124,광양시보건소,2020-09-07,4840000,전라남도 광양시
정신건강복지센터,정신보건,경상남도 양산시 중앙로 7-32,경상남도 양산시 다방동 506-3,35.33215753,129.0379934,"정신건강증진사업, 자살예방사업",09:00,18:00,법정공휴일휴무,273,1,1,6,0,0,,055-367-2255,정신건강복지센터,055-392-5721,양산시보건소,2020-09-10,5380000,경상남도 양산시
단양군 CCTV통합관제센터 체력단련실,건강증진,충청북도 단양군 단양읍 별곡1로 17,충청북도 단양군 단양읍 별곡리 311,36.98473681,128.3674437,체력단련실,06:00,21:00,코로나19 종료 시 연중무휴,,0,0,0,0,1,"043-420-3277, 3255,3227",043-420-3277,단양군보건소,043-420-3277,단양군보건소,2020-09-03,4480000,충청북도 단양군
횡성군정신건강복지센터,정신보건,강원도 횡성군 횡성읍 횡성로 379,강원도 횡성군 횡성읍 읍하리 598,37.4871296,127.9844504,"중증정신질환자관리 및 자살예방사업, 신규정신질환자 발굴 및 프로그램 운영",09:00,18:00,법정공휴일,185,1,3,4,0,1,1577-0199,033-345-9901,연세대학교 원주 세브란스 기독병원,033-340-5618,강원도 횡성군 보건소,2020-08-10,4260000,강원도 횡성군
포천시정신건강복지센터,정신보건,경기도 포천시 포천로 1612,경기도 포천시 신읍동 164-3,37.9008257596,127.2012628485,"시민 정신건강 증진, 중증정신질환자 지역사회 통합, 자살 위험없는 안전사회 구현",09:00,18:00,"매주토, 일공휴일",225,1,1,17,0,0,,031-542-0222,의료법인 일심의료재산,031-538-2114,경기도 포천시청,2020-06-30,5600000,경기도 포천시
금천구정신건강복지센터,정신보건,서울특별시 금천구 시흥대로 123길 11,서울특별시 금천구 독산동 289-5,37.4702190458,126.897019,"중증정신질환자관리,아동청소년정신건강사업,알코올중독관리사업,자살위기대응사업",09:00,18:00,"토요일,일요일,공휴일",429,1,1,14,0,,,02-3281-9314,의료법인 새움의료재단,02-2627-2656,서울특별시 금천구 보건소,2020-09-07,3170000,서울특별시 금천구
대구남구정신건강복지센터,정신보건,대구광역시 남구 영선길 34,대구광역시 남구 대명동 2003,35.853883,128.5915236599,중증정신질환자관리사업 아동청소년정신보건사업 자살예방사업 정신건강증진사업,09:00,18:00,"토요일, 일요일, 공휴일",122.5,1,2,3,0,임상심리사(2),,053-628-5863,영남대학교의료원,053-664-3632,대구광역시 남구보건소,2020-08-31,3440000,대구광역시 남구
수서동건강증진센터,건강증진,서울특별시 강남구 밤고개로1길 52,서울특별시 강남구 수서동718,37.4890010498,127.1052745,"대사증후군관리,만성질환관리",09:00,18:00,매주토요일+매주일요일+공휴일,40,0,2,0,0,0,검사전날밤10시부터 금식 요망,02-3423-8773,강남구 보건소,02-3423-7111,강남구 보건소,2020-09-03,3220000,서울특별시 강남구
세곡동건강증진센터,건강증진,서울특별시 강남구 밤고개로 286,서울특별시 강남구 율현동 278-1,37.4690094,127.1069041,"대사증후군관리,만성질환관리,고혈압,당뇨 교육",09:00,17:00,매주토요일+매주일요일+공휴일,12,0,1,0,0,0,검사전날밤11시부터 금식 요망,02-3423-8688,강남구 보건소,02-3423-7112,강남구 보건소,2020-09-03,3220000,서울특별시 강남구
구미시정신건강복지센터,정신보건,경상북도 구미시 선산대로 111,경상북도 구미시 지산동 853-12,36.13993105,128.3459831,"중증정신질환자 관리, 자살예방, 아동정신건강관리",09:00,18:00,"매주 토,일, 공휴일",,0,8,5,0,0,,054-480-4045,경북대학교,054-480-4041,구미시구미보건소,2020-06-30,5080000,경상북도 구미시
구미중독관리통합지원센터,정신보건,경상북도 구미시 검성로 115 복합상가동,경상북도 구미시 황상동 110,36.11857165,128.4314026,"알코올, 마약, 게임 중독관리",09:00,18:00,"매주 토,일, 공휴일",,1,1,4,0,0,,054-474-9791,대구가톨릭사회복지재단,054-480-4041,구미시구미보건소,2020-06-30,5080000,경상북도 구미시
웰빙건강클리닉센터(우정),건강증진,경기도 화성시 우정읍 쌍봉로 109-14,경기도 화성시 우정읍 조암리 411-1번지,37.0898254580,126.8153597,생애주기별_신체활동프로그램_제공,09:00,18:00,토요일_일요일_공휴일,361,0,0,0,1,2,0,031-5189-6413,한신대학교산학협력단,031-5189-6212,화성시보건소,2020-05-27,5530000,경기도 화성시
웰빙건강클리닉센터(서신),건강증진,경기도 화성시 서신면 궁평항로 1702,경기도 화성시 서신면 매화리 277번지,37.1665872496,126.7087366390,생애주기별_신체활동프로그램_제공,09:00,18:00,토요일_일요일_공휴일,160,0,0,0,0,3,0,031-5189-6482,한신대학교산학협력단,031-5189-6212,화성시보건소,2020-05-27,5530000,경기도 화성시
U_만성질환관리센터(보건소),건강증진,경기도 화성시 향남읍 3.1만세로 1055,경기도 화성시 향남읍 발안리 309번지,37.1292821092,126.9045562919,고혈압_당뇨병_이상지질혈증_비만_비약물관리,09:00,18:00,토요일_일요일_공휴일,84,0,1,0,1,1,0,031-5189-6371,수원여자대학교산학협력단,031-5189-4738,화성시보건소,2020-05-27,5530000,경기도 화성시
U_만성질환관리센터(동탄),건강증진,경기도 화성시 노작로 226-9,경기도 화성시 석우동 60번지,37.2070700716,127.0785988724,고혈압_당뇨병_이상지질혈증_비만_비약물관리,09:00,18:00,토요일_일요일_공휴일,330,0,1,0,1,2,0,031-5189-4374,수원여자대학교산학협력단,031-5189-4738,화성시보건소,2020-05-27,5530000,경기도 화성시
U_만성질환관리센터(기배),건강증진,경기도 화성시 기안남로 62,경기도 화성시 기안동 457-21번지,37.2243340302,126.9846354044,고혈압_당뇨병_이상지질혈증_비만_비약물관리,09:00,18:00,토요일_일요일_공휴일,171,0,1,0,1,1,0,031-5189-4491,수원여자대학교산학협력단,031-5189-4738,화성시보건소,2020-05-27,5530000,경기도 화성시
U_만성질환관리센터(봉담),건강증진,경기도 화성시 봉담읍 동화새터길 109,경기도 화성시 봉담읍 동화리 614번지,37.2170553745,126.9611032325,고혈압_당뇨병_이상지질혈증_비만_비약물관리,09:00,18:00,토요일_일요일_공휴일,273,0,1,0,1,2,0,031-5189-6253,수원여자대학교산학협력단,031-5189-4738,화성시보건소,2020-05-27,5530000,경기도 화성시
울주군정신건강복지센터,정신보건,울산광역시 울주군 삼남면 서향교1길 67-12,울산광역시 울주군 삼남면 교동리 1605-1,35.5583314,129.113771,"중증정신질환자관리, 정신건강증진, 자살예방사업, 아동청소년 정신건강증진 등",09:00,18:00,"토, 일요일,공휴일",102.9,0,2,10,0,임상심리사 1,,052-262-1148,세광병원,052-204-2733,울산광역시 울주군보건소,2020-10-15,6310000,울산광역시
파주시정신건강복지센터,정신보건,경기도 파주시 조리읍 봉천로 68,경기도 파주시 조리읍 봉일천리 188-9,37.74507915,126.8050097,정신질환 예방 및 정신질환자 등록 관리,09:00,18:00,토+일+공휴일,714.8,1,4,15,0,0,0,031-942-2117,동국대학교 일산병원,031-940-5464,파주시,2020-03-18,4060000,경기도 파주시
북삼건강생활지원센터,건강증진,강원도 동해시 청운로 96,강원도 동해시 쇄운동 157-1,37.4885287262,129.1026734685,"대사증후군관리사업, 금연지원사업",09:00,18:00,토+일요일+공휴일,1454,0,6,0,1,3,"대사증후군관리센터-전날10시부터 금식, 금연지원사업-매주수요일 이동클리닉운영",033-530-2423,동해시보건소,033-530-2401,강원도 동해시보건소,2020-10-16,4210000,강원도 동해시
묵호건강증진센터,건강증진,강원도 동해시 발한로 227 (발한동),강원도 동해시 발한동 17-9,37.5495162,129.1081409,"심뇌혈관질환예방관리사업, 동해시치매안심센터",09:00,18:00,토+일요일+공휴일,1454,0,8,2,1,3,"치매 검진 : 만60세 이상, 년1회 검진",033-530-2426,동해시보건소,033-530-2401,강원도 동해시보건소,2020-10-16,4210000,강원도 동해시
광진구정신건강복지센터,정신보건,"서울특별시 광진구 긴고랑로 110, 4층","서울특별시 광진구 중곡동 125-11, 4층",37.55930711,127.0870911923,"중증정신질환자 등록 및 사례관리, 아동청소년 정신건강사업, 정신장애인 재활프로그램 운영, 정신건강상담",09:00,18:00,매주토요일+매주일요일+공휴일,309,1,4,9,,,,02-450-1895,국립정신건강센터,02-450-1934,서울특별시 광진구 보건소,2020-10-14,3040000,서울특별시 광진구
진산요양원,정신보건,전라남도 나주시 노안면 노안삼도로 507-22,전라남도 나주시 노안면 오정리 301-28,35.089994,126.6945442,정신요양시설운영,09:00,18:00,일요일+공휴일,,1,5,11,1,9,상담후 결정,061-336-1911,진산요양원,062-608-3283,광주광역시 동구보건소,2020-10-16,3590000,광주광역시 동구
빛고을정신요양원,정신보건,전라남도 나주시 다도면 다도로 287-22,전라남도 나주시 다도면 송학리 990-3,34.98546561,126.8276577,정신요양시설운영,09:00,18:00,일요일+공휴일,,1,6,16,1,15,상담후 결정,061-337-3427,빛고을정신요양원,062-608-3283,광주광역시 동구보건소,2020-10-16,3590000,광주광역시 동구
광주동구정신건강복지센터,정신보건,광주광역시 동구 서남로 1,광주광역시 동구 서석동 31,35.14614143,126.9230951,정신 건강예방서비스,09:00,18:00,일요일+공휴일,,1,4,9,0,0,상담후 결정,062-233-0468,광주동구정신건강복지센터,062-608-3282,광주광역시 동구보건소,2020-10-16,3590000,광주광역시 동구
서원정신건강복지센터,정신보건,충청북도 청주시 서원구 구룡산로 235,충청북도 청주시 서원구 수곡동 901,36.61602197,127.4713297,"정신건강, 질병예방, 건강관리",09:00,18:00,토요일+일요일+공휴일,294.37,0,0,0,0,9,,043-291-0199,서원정신건강복지센터,043-201-3263,서원보건소,2020-07-09,5710000,충청북도 청주시
흥덕정신건강복지센터,정신보건,충청북도 청주시 흥덕구 비하로15번길 16,충청북도 청주시 흥덕구 비하동 121-7,36.62858039,127.4242658,"정신건강, 질병예방, 건강관리",09:00,18:00,토요일+일요일+공휴일,366.01,0,0,0,0,8,,043-234-8686,흥덕정신건강복지센터,043-201-3363,흥덕보건소,2020-07-09,5710000,충청북도 청주시
청원정신건강복지센터,정신보건,충청북도 청주시 청원구 오창읍 과학산업3로 238,충청북도 청주시 청원구 오창읍 각리 639-1,36.71040553,127.4304724,"정신건강, 질병예방, 건강관리",09:00,18:00,토요일+일요일+공휴일,282.3,0,0,0,0,8,,043-215-6868,청원정신건강복지센터,043-201-3467,청원보건소,2020-07-09,5710000,충청북도 청주시
보은군정신건강복지센터,정신보건,충청북도 보은군 보은읍 동광길 45,충청북도 보은군 보은읍 삼산리 167-3,36.4859944415,127.716771435,"정신건강복지센터운영, 아동청소년 정신보건사업, 자살예방사업",09:00,18:00,"주5일제, 공휴일",262.05,1,0,8,,,,043-544-6991,보은군정신건강복지센터,043-540-5647,보은군보건소,2019-09-11,4420000,충청북도 보은군
함양군건강증진센터,건강증진,경상남도 함양군 함양읍 한들로 139,경상남도 함양군 함양읍 용평리 630-3,35.51955171,127.7314751,"정신, 재활사업",09:00,18:00,"주말, 공휴일",327.83,0,3,1,2,4,어린이급식관리지원,055-960-5337,함양군보건소,055-960-5331,경상남도 함양군청,2020-07-14,5460000,경상남도 함양군
노원구정신건강증진센터,정신보건,서울특별시 노원구 노해로 437,서울특별시 노원구 상계동 701-1 노원구청,37.6545813304,127.0569836607,정신질환자 등록관리,09:00,18:00,"매주토,일요일, 공휴일",67.3,0,4,12,0,임상심리사1명,음주 문제 상담 불가,02-2116-4591,노원구,02-2116-4357,서울특별시 노원구 보건소,2020-07-14,3100000,서울특별시 노원구
구례군 보건의료원 건강증진센터,건강증진,전라남도 구례군 구례읍 동편제길 30,전라남도 구례군 구례읍 백련리 576,35.2160741078,127.4617790107,"운동상담, 영양상담, 금연상담, 대사증후군 관리, 물리치료실",09:00,18:00,"매주 토요일, 일요일, 공휴일",978.19,0,2,0,1,물리치료사 2,,061-780-2017,구례군보건의료원,061-780-2017,구례군,2020-07-08,4870000,전라남도 구례군
달성군정신건강증진센터,정신보건,대구광역시 달성군 옥포읍 비슬로458길 6-2,대구광역시 달성군 옥포읍 기세리 267,35.789593,128.471279,"정신건강증진사업, 중증정신질환자 관리사업, 자살예방사업, 아동·청소년정신건강증진사업",09:00,18:00,"매주 토·일요일, 공휴일",166.25,1,0,1,0,정신건강사회복지사(7)임상심리사(1)정신건강임상심리사(2),,053-643-0199,동산병원,053-668-3772,대구광역시 달성군보건소,2020-07-02,3480000,대구광역시 달성군
장흥군건강증진센터,건강증진,전라남도 장흥군 장흥읍 흥성로 49,,34.6764676672,126.9083342821,"금연클리닉, 체성분 측정, 운동지도 등",09:00,18:00,공휴일 휴무,,0,0,0,0,3,,061-860-4000,장흥군보건소,061-860-4000,장흥군보건소,2020-07-06,4910000,전라남도 장흥군
건강증진센터,건강증진,경상북도 칠곡군 왜관읍 관문로1길 30,,35.990943,128.418512,"체력진단 및 운동처방, 혈압 및 혈당 등 건강검사, 영양상담 및 운동상담, 운동프로그램 운영",09:00,18:00,공휴일,324,0,1,0,1,운동처방사 1명,,054-979-8266,칠곡군보건소,054-979-8212,칠곡군보건소,2020-07-13,5220000,경상북도 칠곡군
안동시주민건강지원센터,건강증진,경상북도 안동시 서동문로 165,경상북도 안동시 북문동 58,36.5669985982,128.7302562437,"만성질환관리, 금연클리닉, 영양플러스, 건강증진실, 구강보건, 방문보건업무 등 건강증진프로그램 운영",09:00,18:00,"토,일,공휴일",,4,10,0,3,15,,054-840-5997,안동시보건소,054-840-5997,안동시보건소,2020-06-30,5070000,경상북도 안동시
연천군건강증진센터,건강증진,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,38.02353445,127.0609628,"영양상담, 운동처방",09:00,18:00,"토요일, 일요일, 공휴일",205.5,0,0,0,2,,,031-839-4178,경기도 연천군 보건의료원,031-839-4178,경기도 연천군 보건의료원,2020-06-17,4140000,경기도 연천군
음성군 건강증진센터,건강증진,충청북도 음성군 음성읍 중앙로 49,충청북도 음성군 음성읍 406-4,36.9285496,127.6887223,운동기구를 활용한 체력단련,09:00,18:00,"매주 토요일,일요일,공휴일",379,0,1,0,1,운동처방사(1),,043-871-2089,충청북도 음성군 보건소,043-872-2136,충청북도 음성군청,2019-06-18,4470000,충청북도 음성군
남원시보건소 주민건강증진센터,건강증진,전라북도 남원시 요천로 1285 남원시보건소 주민건강증진센터,전라북도 남원시 조산동 455 남원시보건소 주민건강증진센터,35.397998,127.364363,체력단련실 금연클리닉 영양플러스실 운영,09:00,17:00,토일 및 공휴일,283,0,2,0,2,0,,063-620-7987,남원시보건소,063-620-7950,남원시보건소,2019-09-10,4700000,전라북도 남원시
태안군보건의료원 건강검진센터,건강증진,충청남도 태안군 태안읍 서해로 1952-16,충청남도 태안군 태안읍 평천리 698-6,36.7518786038,126.3231987083,국가 암 및 건강검진 등,09:00,18:00,"토, 일, 공휴일 휴무",330,2,6,0,1,3,0,041-671-5246,태안군보건의료원,041-671-5246,태안군보건의료원,2019-05-31,4620000,충청남도 태안군
순창건강증진센터,건강증진,전라북도 순창군 순창읍 순창5길11-6,전라북도 순창군 순창읍 남계리 649,35.3727937054,127.1407558560,"운동처방,건강증진",05:30,22:00,"일요일, 공휴일",1218,0,0,0,0,계약직(1)+청경(1)+공무직(1),,063-650-5256,순창군보건의료원,063-650-5314,순창군보건의료원,2019-06-30,4770000,전라북도 순창군
김천시 건강증진센터,정신보건,경상북도 김천시 농남로 42,경상북도 김천시 농소면 월곡리 700-2,36.1060885708,128.1724912941,정신건강증진 및 자살예방사업,09:00,18:00,"토,일 및 공휴일",181.7,1,4,2,0,0,,054-433-4005,김천시 보건소,054-421-2744,김천시 보건소,2019-09-23,5060000,경상북도 김천시
인천광역시 부평구 건강증진센터,건강증진,인천광역시 부평구 부흥로 287,인천광역시 부평구 부평동 442-3,37.498900,126.723770,"신체활동, 비만관리, 영양 프로그램 운영, 영양플러스 사업, 심뇌혈관질환예방관리사업, 노인건강관리사업 등",09:00,18:00,토/일/공휴일,245.1,0,4,0,6,운동사2명,"체성분검사 및 상담, 기초체력검사 및 상담, 대사증후군 검사 및 상담, 체력단련실 운영",032-509-8297,건강증진센터,032-509-8242,부평구보건소 건강증진과 건강생활팀,2019-09-20,3540000,인천광역시 부평구
시민건강증진센터,건강증진,강원도 춘천시 중앙로 131,강원도 춘천시 중앙로3가 67,37.875777,127.720819,"체성분 및 체력측정, 운동 및 영양 상담, 비만클리닉, 건강증진 프로그램 운영",09:00,18:00,"토요일,일요일,공휴일",459,0,1,0,2,2,체성분측정: 식후 2시간후에 측정가능,033-250-4693,춘천시보건소,033-250-3577,춘천시보건소,2019-08-29,4180000,강원도 춘천시
군포시정신복지센터,정신보건,경기도 군포시 군포로 221,경기도 군포시 부곡동 770-1,37.3330901,126.9256224,"만성정신장애인 관리, 정신보건사업, 주간재활 프로그램운영, 자살예방사업, 아동청소년정신보건사업,생명존중 및 노인자살예방사업",09:00,18:00,주말 및 공휴일,546.8,3,3,14,,,,031-461-1771,학교법인 일송학원 한림대학교성심병원,031-390-8944,경기도 군포시보건소,2019-09-18,4020000,경기도 군포시
장성군정신건강증진센터,건강증진,전라남도 장성군 장성읍 청운11길 13,전라남도 장성군 장성읍 영천리1475-4 보건소,35.3045428541,126.7824532467,"정신질환자 등록관리,자살예방사업, 아동청소년 정신보건사업",09:00,18:00,"일요일,?공휴일",158,1,1,4,0,,전문의?상담을?원하실?경우?예약필수,061-390-8376,장성군보건소,061-390-8373,장성군보건소,2019-06-30,4980000,전라남도 장성군
수원시중독관리통합지원센터,정신보건,경기도 수원시 팔달구 매산로 89,경기도 수원시 팔달구 매산로 3가 43-1,37.2704216,127.0106758,"알코올 및 기타중독자의 발견 및 등록사업, 가족전화 내방상담 교육",09:00,18:00,토요일+일요일+공휴일,274.67,0,3,5,,,,031-256-9478,장안구보건소,031-228-5908,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시노인정신건강복지센터,정신보건,경기도 수원시 영통구 영통로 396,경기도 수원시 영통구 영통동 961-18,37.2568735,127.0697092,"노인정신건강 서비스 대상자 등록 및 관리, 의뢰체계 구축, 노인정신질환 관련 프로그램 운영",09:00,18:00,토요일+일요일+공휴일,205,1,4,9,,기타(1),,031-273-7515,장안구보건소,031-228-5908,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
평창군건강생활지원센터,건강증진,강원도 평창군 진부면 석두산2길 13,강원도 평창군 진부면 하진부리 251-2,37.637146,128.5535169743,"만선질환예방관리, 운동영양관리",09:00,21:00,토요일+일요일+공휴일,903,0,3,1,2,운동처방사+사회복무요원+공공근로,내소,033-336-6128,평창군보건의료원,033-330-2147,강원도 평창군,2020-10-14,4280000,강원도 평창군
부여군 건강재활센터,건강증진,충청남도 부여군 부여읍 성왕로 205,충청남도 부여군 부여읍 구아리 136,36.2830523119,126.9093363317,"장애인 등록관리 및 재활서비스 제공, 장애인 재활치료 및 사회참여 프로그램, 원스톱 건강관리 클리닉 및 운동처방실 운영, 대사증후군 건강관리 운동교실 운영 등",09:00,18:00,토요일+일요일+공휴일,823.67,0,0,0,1,물리치료사(1)+작업치료사(1)+운동처방사(1),"전화, 내소",041-830-8732,충청남도 부여군보건소,041-830-8600,충청남도 부여군보건소,2020-09-30,4570000,충청남도 부여군
오석산정신요양원,정신보건,충청남도 부여군 부여읍 청마로 61,충청남도 부여군 부여읍 능산리 213-3,36.2802559118,126.951891,만성정신질환자 입소 관리,09:00,18:00,공휴일,2155.415,1,3,7,1,시설장(1)+사무국장(1)+사무원(2)+전문요원(2)+조리원(2)+작업지도원(1)+관리인(1)+안전관리요원(1)+위생원(1),,041-835-5900,사회복지법인 오석산요양원,041-830-8623,충청남도 부여군보건소,2020-09-30,4570000,충청남도 부여군
부여군 정신건강복지센터,정신보건,충청남도 부여군 부여읍 성왕로 205,충청남도 부여군 부여읍 구아리 136,36.2830523119,126.9093363317,"지역사회 정신건강증진사업, 자살예방사업 등",09:00,18:00,토요일+일요일+공휴일,43.49,0,2,3,0,0,"전화, 내소",041-830-8626,충청남도 부여군보건소,041-830-8622,충청남도 부여군보건소,2020-09-30,4570000,충청남도 부여군
